year,name,party,term,salary,position_title
2001,"Chaney,Richard Bruce",Republican,First,186300,VICE PRESIDENT OF THE UNITED STATES
2002,"Chaney,Richard Bruce",Republican,First,192600,VICE PRESIDENT OF THE UNITED STATES
2003,"Chaney,Richard Bruce",Republican,First,198600,VICE PRESIDENT OF THE UNITED STATES
2004,"Chaney,Richard Bruce",Republican,First,203000,VICE PRESIDENT OF THE UNITED STATES
2005,"Chaney,Richard Bruce",Republican,Second,208100,VICE PRESIDENT OF THE UNITED STATES
2006,"Chaney,Richard Bruce",Republican,Second,212100,VICE PRESIDENT OF THE UNITED STATES
2007,"Chaney,Richard Bruce",Republican,Second,215700,VICE PRESIDENT OF THE UNITED STATES
2008,"Chaney,Richard Bruce",Republican,Second,221100,VICE PRESIDENT OF THE UNITED STATES
2009,"Biden,Joseph Robinette,Jr.",Democratic,First,227300,VICE PRESIDENT OF THE UNITED STATES
2010,"Biden,Joseph Robinette,Jr.",Democratic,First,230700,VICE PRESIDENT OF THE UNITED STATES
2011,"Biden,Joseph Robinette,Jr.",Democratic,First,230700,VICE PRESIDENT OF THE UNITED STATES
2012,"Biden,Joseph Robinette,Jr.",Democratic,First,230700,VICE PRESIDENT OF THE UNITED STATES
2013,"Biden,Joseph Robinette,Jr.",Democratic,Second,230700,VICE PRESIDENT OF THE UNITED STATES
2014,"Biden,Joseph Robinette,Jr.",Democratic,Second,230700,VICE PRESIDENT OF THE UNITED STATES
2015,"Biden,Joseph Robinette,Jr.",Democratic,Second,230700,VICE PRESIDENT OF THE UNITED STATES
2016,"Biden,Joseph Robinette,Jr.",Democratic,Second,230700,VICE PRESIDENT OF THE UNITED STATES
2017,"Pence,Michael Richard",Republican,First,230700,VICE PRESIDENT OF THE UNITED STATES
2018,"Pence,Michael Richard",Republican,First,230700,VICE PRESIDENT OF THE UNITED STATES
2019,"Pence,Michael Richard",Republican,First,235100,VICE PRESIDENT OF THE UNITED STATES
2020,"Pence,Michael Richard",Republican,First,235100,VICE PRESIDENT OF THE UNITED STATES
